X,Y,Z,u1,v1,u2,v2
0.00000000,0.00000000,0.00000000,518.40000000,115.20000000,640.00000000,115.20000000
50.00000000,0.00000000,0.00000000,424.80761570,101.82965939,729.13560410,101.82965939
100.00000000,0.00000000,0.00000000,324.09368076,87.44195439,825.05363737,87.44195439
150.00000000,0.00000000,0.00000000,215.41321723,71.91617389,928.55884074,71.91617389
200.00000000,0.00000000,0.00000000,97.78206603,55.11172372,1040.58850854,55.11172372
250.00000000,0.00000000,0.00000000,-29.95300037,36.86385709,1162.24095273,36.86385709
0.00000000,50.00000000,0.00000000,518.40000000,236.80000000,640.00000000,236.80000000
50.00000000,50.00000000,0.00000000,424.80761570,227.88643959,729.13560410,227.88643959
100.00000000,50.00000000,0.00000000,324.09368076,218.29463626,825.05363737,218.29463626
150.00000000,50.00000000,0.00000000,215.41321723,207.94411593,928.55884074,207.94411593
200.00000000,50.00000000,0.00000000,97.78206603,196.74114915,1040.58850854,196.74114915
250.00000000,50.00000000,0.00000000,-29.95300037,184.57590473,1162.24095273,184.57590473
0.00000000,100.00000000,0.00000000,518.40000000,358.40000000,640.00000000,358.40000000
50.00000000,100.00000000,0.00000000,424.80761570,353.94321980,729.13560410,353.94321980
100.00000000,100.00000000,0.00000000,324.09368076,349.14731813,825.05363737,349.14731813
150.00000000,100.00000000,0.00000000,215.41321723,343.97205796,928.55884074,343.97205796
200.00000000,100.00000000,0.00000000,97.78206603,338.37057457,1040.58850854,338.37057457
250.00000000,100.00000000,0.00000000,-29.95300037,332.28795236,1162.24095273,332.28795236
0.00000000,150.00000000,0.00000000,518.40000000,480.00000000,640.00000000,480.00000000
50.00000000,150.00000000,0.00000000,424.80761570,480.00000000,729.13560410,480.00000000
100.00000000,150.00000000,0.00000000,324.09368076,480.00000000,825.05363737,480.00000000
150.00000000,150.00000000,0.00000000,215.41321723,480.00000000,928.55884074,480.00000000
200.00000000,150.00000000,0.00000000,97.78206603,480.00000000,1040.58850854,480.00000000
250.00000000,150.00000000,0.00000000,-29.95300037,480.00000000,1162.24095273,480.00000000
0.00000000,200.00000000,0.00000000,518.40000000,601.60000000,640.00000000,601.60000000
50.00000000,200.00000000,0.00000000,424.80761570,606.05678020,729.13560410,606.05678020
100.00000000,200.00000000,0.00000000,324.09368076,610.85268187,825.05363737,610.85268187
150.00000000,200.00000000,0.00000000,215.41321723,616.02794204,928.55884074,616.02794204
200.00000000,200.00000000,0.00000000,97.78206603,621.62942543,1040.58850854,621.62942543
250.00000000,200.00000000,0.00000000,-29.95300037,627.71204764,1162.24095273,627.71204764
0.00000000,250.00000000,0.00000000,518.40000000,723.20000000,640.00000000,723.20000000
50.00000000,250.00000000,0.00000000,424.80761570,732.11356041,729.13560410,732.11356041
100.00000000,250.00000000,0.00000000,324.09368076,741.70536374,825.05363737,741.70536374
150.00000000,250.00000000,0.00000000,215.41321723,752.05588407,928.55884074,752.05588407
200.00000000,250.00000000,0.00000000,97.78206603,763.25885085,1040.58850854,763.25885085
250.00000000,250.00000000,0.00000000,-29.95300037,775.42409527,1162.24095273,775.42409527
0.00000000,300.00000000,0.00000000,518.40000000,844.80000000,640.00000000,844.80000000
50.00000000,300.00000000,0.00000000,424.80761570,858.17034061,729.13560410,858.17034061
100.00000000,300.00000000,0.00000000,324.09368076,872.55804561,825.05363737,872.55804561
150.00000000,300.00000000,0.00000000,215.41321723,888.08382611,928.55884074,888.08382611
200.00000000,300.00000000,0.00000000,97.78206603,904.88827628,1040.58850854,904.88827628
250.00000000,300.00000000,0.00000000,-29.95300037,923.13614291,1162.24095273,923.13614291
